iter	Passed	Remaining
0	133	13224
1	134	6598
2	135	4386
3	136	3277
4	137	2615
5	138	2171
6	139	1856
7	140	1618
8	141	1432
9	142	1283
10	143	1160
11	144	1058
12	145	975
13	146	901
14	148	839
15	149	782
16	149	732
17	150	686
18	151	646
19	152	610
20	153	577
21	154	547
22	155	519
23	156	494
24	157	472
25	158	451
26	159	431
27	160	413
28	161	395
29	162	379
30	163	364
31	165	350
32	166	337
33	167	324
34	168	312
35	169	300
36	170	290
37	171	280
38	173	270
39	174	261
40	175	251
41	175	242
42	176	233
43	177	225
44	178	218
45	179	210
46	181	204
47	182	197
48	183	190
49	184	184
50	185	178
51	186	172
52	187	166
53	188	160
54	189	154
55	190	150
56	192	145
57	193	140
58	194	135
59	195	130
60	197	126
61	198	121
62	199	116
63	200	112
64	201	108
65	202	104
66	203	100
67	204	96
68	205	92
69	206	88
70	207	84
71	208	81
72	210	77
73	211	74
74	212	70
75	213	67
76	214	64
77	215	60
78	216	57
79	218	54
80	219	51
81	220	48
82	221	45
83	222	42
84	224	39
85	225	36
86	226	33
87	227	31
88	229	28
89	231	25
90	233	23
91	234	20
92	235	17
93	236	15
94	237	12
95	238	9
96	239	7
97	240	4
98	242	2
99	243	0
